PROCEDURE_CODE	Q12016	Q22016	Q32016	Q42016
L2755	2259	2430	2511	2542
L5692	32	51	45	40
L2112	210	182	202	202
L2350	145	139	141	161
L1907	406	596	735	897
L5785	152	155	158	127
L3982	1255	1345	1399	1262
L0488	7	5	4	11
L0640	95	83	79	78
L2360	621	709	642	633
L5999	335	385	444	414
L3400	333	370	343	366
L0984	103	85	70	106
L5010	45	56	48	53
L5050	72	86	81	91
L8417	543	565	617	570
L3935	190	167	191	152
L2375	10	5	9	11
L0457	1433	1789	1716	1568
A4483	517	477	452	426
L5646	48	72	58	67
L2850	115	135	144	156
L7401	53	41	39	46
L1950	187	195	225	214
L2190	3	1	5	3
L8435	78	63	92	66
L4070	36	20	49	38
L3649	292	315	321	303
L2550	65	73	55	63
L3252	29	14	22	40
L5710	3	4	1	1
L3217	242	232	217	428
L3530	31	29	26	32
L0638	92	96	88	88
L1270	29	16	36	25
L0623	16	10	6	18
L1499	55	85	67	58
L3080	169	184	186	121
L7367	94	101	103	104
L1690	11	48	65	69
L3570	5	1	7	2
L3254	198	234	259	296
L3320	55	80	93	72
L0470	30	13	11	16
L5840	57	65	55	49
L8485	61	58	50	58
L6616	24	39	40	34
L5782	23	31	33	35
L3001	156	186	190	160
L8042	23	23	24	21
L5990	22	39	32	37
L6611	28	34	36	35
L3330	4	8	3	3
L0643	127	140	122	94
L0635	80	30	35	36
L8514	12	14	10	14
L7362	6	8	3	2
L2510	49	46	43	42
L7364	9	7	7	7
L7366	12	9	7	10
L0710	10	10	10	12
L4060	14	8	14	13
L2184	12	6	9	3
L6110	27	26	22	24
L5570	1	7	3	0
L1730	0	1	0	0
L6677	5	3	6	5
L5500	3	9	8	3
L1660	1	1	2	1
L7902	0	0	0	0
L2080	2	0	4	3
L2126	3	7	6	6
L3207	1	2	0	0
L6624	22	10	9	20
L4040	7	0	4	2
L8320	2	3	1	4
L3455	2	0	5	4
L3201	1	0	1	0
L5728	2	1	2	5
L7360	4	4	2	2
L8658	2	3	0	0
L2060	1	2	0	0
L1070	2	1	4	3
L5859	3	2	3	4
A4550	0	2	0	0
A4556	548	488	217	166
A4649	1780	1784	1772	1607
A7013	28625	27413	22329	23439
A7016	867	626	829	689
E0265	8746	8598	8139	7662
A4618	1541	1455	1501	1585
E1357	6	8	21	16
E0185	12772	12994	12370	11792
E0274	169	152	157	122
E0636	906	576	273	130
E0705	2780	3021	3160	2926
E0760	2240	2264	2338	2511
A4637	62	86	67	108
E1092	1	0	0	0
E1161	16378	17047	17892	18280
K0042	252	261	219	235
A7017	6	6	6	11
K0736	2	0	0	0
E0181	32046	31588	30400	28611
E1007	2490	2847	2822	3332
K0044	166	142	152	103
E0981	824	858	837	885
E1036	152	146	138	125
E0182	220	219	221	162
A7020	465	519	524	531
E0270	4	5	1	1
E1232	33	49	45	48
E2625	128	145	153	177
A4619	8	6	2	4
