PROCEDURE_CODE	Q12016	Q22016	Q32016	Q42016
L5505	0	1	0	1
E1160	0	2	0	2
K0842	30	20	32	31
E2633	0	0	1	2
K0050	2	0	1	0
E2217	33	26	16	28
E0435	0	0	0	1
E0329	15	11	15	13
E1250	1	0	1	0
E1224	1	0	0	0
A7026	0	1	1	0
L2580	0	1	0	0
L5716	0	1	0	1
L8044	0	1	1	4
L8190	0	0	0	0
L0210	0	0	0	0
L6640	0	1	0	0
L3932	0	0	0	0
L1815	0	0	0	0
K	0	0	0	0
E1296	0	0	0	0
K0735	0	0	0	0
A4595	0	0	0	0
A6253	0	0	0	0
L7260	0	0	0	0
L3911	0	0	0	0
A4314	27519	24827	24742	24325
A6541	6	2	6	10
A6198	205	184	168	175
L3923	5569	5853	4988	4775
A6536	101	108	86	107
A6539	477	497	471	527
B4158	35	24	38	34
L5321	1467	1587	1582	1762
L6709	7	2	3	6
L8300	272	269	275	251
E0655	86	50	36	36
Q4018	0	0	0	0
S9342	0	0	0	0
T4537	2	0	0	0
A4324	0	0	0	0
T4536	2	0	0	0
E0255	9039	8262	8059	8011
A7039	202273	208877	212045	222505
E2210	1560	1685	1778	1735
K0019	6200	5974	5634	5297
L0637	8701	8621	8219	7732
E2361	8360	9369	8427	8676
E2620	3494	3928	3889	4273
E0155	1488	1338	1467	1691
K0738	254568	253616	251134	244447
A7028	2224	2039	1831	1745
K0825	11428	11979	12064	11960
A9276	4413	4588	4490	4942
E0990	5074	4874	5100	4660
B4149	993	1012	999	1027
E0652	516	652	683	793
K0069	483	451	457	454
E2384	372	367	280	299
K0815	121	113	115	111
B4083	10	10	8	8
Q4034	0	0	0	0
T4543	2	0	0	0
A7520	6047	6012	6050	6002
L5986	4008	4441	4513	4594
L8000	40124	56117	56535	64071
L5649	2947	3133	3140	3441
L5652	982	1058	1069	1159
L5980	504	630	645	663
E0483	11310	11893	12676	13697
L5972	3218	3357	3413	3475
L3020	6453	6880	6819	7349
L5930	61	80	78	72
L1844	1303	1508	1490	1432
L3050	388	397	430	393
L2415	456	451	508	432
L3905	144	154	126	129
L6665	64	51	57	62
L2265	837	893	852	840
L2270	3601	3845	3843	3781
L2390	242	248	218	276
L4361	32632	36660	40095	39546
L5683	397	437	466	488
L3170	1539	1870	2474	3085
L4397	5433	6634	7068	6693
L3485	346	326	333	308
L2036	848	927	880	867
L2425	494	504	430	346
L4210	1679	1885	2040	1758
L8499	270	299	317	304
L1686	576	591	626	584
L8001	413	463	442	518
L7510	1048	1262	1373	1292
L2260	87	126	106	96
L5530	268	238	266	256
L5632	111	147	138	138
L3929	438	384	340	335
L0140	380	368	439	365
L0450	140	155	141	139
L6691	12	25	15	23
L2387	89	78	79	104
L3540	215	245	265	233
L5220	25	26	24	29
L1210	20	27	26	14
L8513	147	203	179	222
L2670	1	0	0	0
L6400	6	5	1	9
L5678	55	81	59	63
L2430	161	169	179	135
L8031	26	32	33	34
L5781	533	620	692	754
L1904	121	126	105	110
L4394	9	5	8	6
L0113	47	45	41	32
L3580	208	236	205	153
L2395	141	221	193	216
L3219	173	224	209	239
L3918	74	89	92	83
L3677	50	28	21	24
L5688	91	69	77	67
L3090	61	60	61	54
L0999	88	84	88	98
L1600	23	18	10	13
L1290	23	14	30	21
L5653	40	40	52	42
L3410	88	131	115	87
L0492	11	5	7	5
L3999	657	736	651	651
L2182	11	24	20	16
L0970	7	10	4	9
L2128	19	17	20	19
L3900	180	162	150	116
L1010	8	6	11	10
L3255	50	51	55	76
L6882	106	83	82	89
L2500	6	8	11	3
L0458	45	56	52	47
L6615	29	46	45	46
L2630	15	32	15	23
L6693	17	18	26	20
L2040	8	9	4	4
L5656	5	10	11	7
L5600	2	2	1	0
L5672	17	18	22	19
L0859	0	2	1	2
L2192	10	10	13	4
L6638	2	6	0	3
L6676	33	21	24	27
L0491	15	8	11	10
L6350	0	0	0	0
L5614	1	1	1	3
L6810	2	1	3	2
L2188	3	2	7	4
L6580	1	0	1	0
L8048	11	6	10	5
L5400	11	13	10	16
L6697	13	5	13	11
L7180	5	4	8	4
L6960	4	1	0	0
L3973	5	2	2	4
L3206	1	0	2	2
L3954	0	0	0	0
L1860	0	0	0	1
L1080	1	2	2	5
L6950	4	0	0	5
L6925	6	1	4	6
L6930	2	1	1	0
L6945	2	2	0	1
A7010	2747	2723	2310	2224
A4636	107	151	200	189
E0153	88	88	80	78
E0297	72	74	65	74
E0630	73792	73642	73675	71467
E2359	1743	2015	1899	2020
E2623	269	328	262	261
K0009	31	78	71	73
K0733	550	718	676	572
K0898	0	1	0	2
E0565	8339	8291	7725	7186
E1352	2	1	0	3
K0037	47	48	40	45
E2220	221	217	276	224
K0848	344	348	325	374
K0861	2415	2796	2819	3378
K0856	1176	1182	1160	1298
K0072	200	212	294	214
E2219	410	437	691	703
E8000	14	8	3	10
E0974	2429	2331	1991	1431
E0967	35	36	45	35
K0669	67	68	71	64
K0862	161	212	217	204
E1234	63	74	89	96
E2214	132	135	152	152
E0457	0	0	0	0
E1240	1	0	1	0
K0065	25	36	39	28
E0619	5	7	8	3
E0948	3	2	0	0
K0857	8	9	12	10
K0853	2	5	1	4
E1222	0	0	0	0
E1090	1	0	1	0
E1260	1	4	0	3
K0859	2	0	0	3
E1229	0	0	0	0
E0187	0	0	0	0
E1228	0	0	3	9
L3969	0	0	0	0
L6915	0	0	1	0
L1630	0	1	0	0
E1280	0	0	0	0
L3805	0	0	1	0
L1110	0	0	0	0
E1172	0	0	0	0
E0105	0	0	0	0
E0720	0	0	0	0
E0600	0	0	0	0
K0005	0	0	0	0
E2375	0	0	0	0
A6266	0	0	0	0
L3978	0	0	0	0
L3701	0	0	0	0
L1090	0	0	0	0
L3936	0	0	0	0
A4320	3345	3138	3094	3064
A4344	5336	5054	5080	4671
A4311	2982	3240	3036	2794
A6223	5344	5535	5853	5566
A6011	345	354	310	310
L4360	23524	22896	22343	19598
A6248	8551	9294	10090	9498
A6251	1176	1227	1602	1863
A4490	11	18	10	5
A6242	940	1084	1181	1505
A6204	264	318	396	419
L3260	18461	20196	20775	18142
A4510	182	317	197	117
A6247	23	30	38	33
L6706	37	29	45	46
L6715	14	2	9	4
L6880	45	37	42	40
L8010	613	757	673	690
L3510	123	135	113	82
Q4006	0	0	0	0
Q4038	4	2	0	0
S9343	0	0	0	0
T4524	0	0	0	0
T4541	15	15	0	0
A4430	6235	6275	6238	6331
A7032	216575	233375	228736	247845
E1392	235187	238133	244528	249342
E0149	4705	5379	8292	14595
E0956	4527	5091	5310	6257
E0973	35262	37233	35753	38131
E1028	17422	19337	25408	37102
A7034	422028	445496	446371	478334
E2366	5432	6363	5207	4983
E1038	46331	47126	46961	46048
K0002	22142	21938	23509	25178
K0195	229607	233791	234207	232799
K0816	7225	7233	7025	6719
K0823	63962	65183	65028	63129
L0631	5237	4986	4889	4322
A4353	18599	18203	18085	17441
E0439	26640	24118	22167	19743
E0935	19701	16808	16216	16942
E0256	382	478	588	622
K0052	2704	2399	1967	1758
E0784	41836	41755	41050	41542
E2208	2807	2897	2757	2737
E2209	1553	1728	1633	1632
B9000	72	87	64	41
A7044	136	120	112	113
A7045	1176	1208	1201	1359
E0304	329	323	341	339
E2202	921	1026	1105	1061
A6550	34324	35143	34365	31518
E2396	694	911	714	890
E0130	123	118	93	73
L3710	198	261	202	246
E2616	50	66	76	71
K0802	30	31	14	15
E0665	20	18	19	15
E2371	5	8	9	5
K0829	29	29	30	41
K0828	22	14	14	10
Q4032	0	0	0	0
L3060	1324	1614	1548	1476
L3960	8672	11647	13289	17014
L5620	8522	9137	9305	9419
L0642	8334	8945	8083	7520
L8440	4226	4244	4323	4275
L0650	40996	47248	50135	56695
L5590	271	298	275	321
L5814	131	148	157	170
L1831	1257	1229	1231	1316
L5658	33	31	29	36
L5988	254	292	269	262
L3808	5710	5553	5281	5308
L0621	1023	1019	879	800
L3630	187	200	157	167
L3730	52	46	35	40
L4002	1642	1972	2005	1556
L2840	730	848	775	701
L0464	1070	1050	1233	1259
L1850	183	194	175	173
L3216	2991	3933	3805	4373
L6629	90	70	72	80
L1300	18	25	31	20
L5661	25	22	26	32
L5810	74	73	61	48
L6890	146	124	172	124
L3720	51	35	41	40
L2492	119	119	122	100
L1220	148	106	141	93
L3250	26	54	43	42
L3595	1	5	2	7
L1040	8	7	4	1
L1060	5	7	3	3
L2525	64	75	87	58
L6250	28	18	15	23
L6635	11	10	9	17
L0641	1193	1420	1345	1234
L2186	23	17	26	21
L4045	6	6	9	7
L7009	37	32	34	40
L3930	41	69	66	73
L3340	35	32	22	36
L3380	13	10	10	16
L5711	5	3	3	7
L1260	10	9	7	7
L2760	24	46	29	30
L1280	10	2	2	5
L5312	21	17	25	16
L5855	16	18	15	22
L5960	36	38	34	44
L6605	2	8	5	4
L1000	0	1	1	2
L2660	3	3	3	3
L5961	5	4	10	6
L2628	3	3	1	3
L2310	10	5	8	12
L3470	7	4	16	4
L3962	28	20	36	25
L2627	2	2	4	8
L6955	16	15	19	13
L3560	36	15	23	22
L2000	15	16	11	16
L3160	1	0	3	0
L3251	10	11	7	7
L0632	10	3	3	5
L3211	5	6	4	2
L3891	10	24	9	9
L2090	0	2	0	1
L0634	10	10	3	3
L5726	0	0	0	0
L1901	0	1	1	0
L2335	37	75	64	19
L6646	5	2	1	2
L7405	10	8	4	7
L5250	2	0	4	1
L8512	9	6	17	16
L6900	0	4	3	1
L0651	42	29	69	29
L6711	2	1	1	2
L5410	4	2	11	3
L6905	2	2	1	1
L5460	12	13	4	10
L2035	0	0	1	2
L6310	0	1	0	0
L1610	9	4	8	7
L6570	1	0	1	1
L4380	0	0	0	0
L0978	0	1	0	2
L5610	0	3	2	2
L6623	4	2	5	8
L6910	0	1	0	2
L6370	1	1	2	2
L3203	4	2	4	3
L6713	1	0	2	0
L0861	3	1	1	1
L3845	1	0	0	0
A7012	3244	3300	2746	2755
E0118	2091	1801	1816	1666
E0485	7	5	2	6
E0748	6787	7272	6955	7610
E2619	775	733	767	875
K0008	1	3	1	0
E0112	58	89	74	59
E2226	345	339	461	368
E2321	2486	2150	2219	1770
E0952	346	378	360	442
K0018	197	200	188	196
A4605	3410	3371	3406	3320
E2311	3425	3852	3852	4430
E2310	1129	1047	1051	1164
E0550	555	544	524	472
K0020	96	75	105	82
A7006	327	187	174	181
K0047	126	115	130	144
K0046	28	35	64	43
E2207	56	44	36	40
E1140	2	4	1	4
K0073	11	9	13	3
A4617	58	46	107	494
A7009	31	13	4	7
K0836	56	55	53	74
E2631	10	2	5	3
E2215	18	10	35	23
K0854	0	1	0	1
E0946	9	7	3	1
E1088	1	1	1	1
E2295	0	0	1	1
L7008	0	1	1	0
L8047	0	7	1	3
E1089	0	0	0	1
L6586	0	0	0	0
E2291	0	0	0	1
L6940	0	0	0	1
L1025	0	1	0	0
L5675	0	0	0	0
A4253	0	0	0	0
A6446	0	0	0	0
E0163	0	0	0	0
A6252	0	0	0	0
L7261	0	0	0	0
L6970	0	0	0	0
