BUCKET1	TYPE1	BUCKET2	TYPE2	COUNTING
GAMUNEX	px	CIDP	dx	PROCEDURE
GAMMAGARD	px	CIDP	dx	PROCEDURE
FLEBOGAMMA	px	CIDP	dx	PROCEDURE
PRIVIGEN	px	CIDP	dx	PROCEDURE
OTHER_IG	px	CIDP	dx	PROCEDURE
GAMUNEX	px	PIDD	dx	PROCEDURE
GAMMAGARD	px	PIDD	dx	PROCEDURE
FLEBOGAMMA	px	PIDD	dx	PROCEDURE
PRIVIGEN	px	PIDD	dx	PROCEDURE
OTHER_IG	px	PIDD	dx	PROCEDURE
HIZENTRA	px	CIDP	dx	PROCEDURE
HIZENTRA_HYQVIA_CUVITRU	px	PIDD	dx	PROCEDURE
HYQVIA_CUVITRU	px	CIDP	dx	PROCEDURE
