VAR1	COUNT	cq
PI00034XQ0:PI6EACT1K5	6	7
PI00034XQ0:PI6J2H2JJ2	3	4
PI00034XQ0:PI6MGR5FJ5	2	0
PI00034XQ0:PI6NA6MME8	4	6
PI00034XQ0:PI6RKG2Q05	2	0
PI00034XQ0:PI6TA4JAB9	2	0
PI00034XQ0:PI6W0ANRV5	20	9
PI00034XQ0:PI6XP6UTQ9	7	8
PI00034XQ0:PI75RAU618	5	6
PI00034XQ0:PI77BP0QU8	2	0
PI00034XQ0:PI7ATCV2G8	4	6
PI00034XQ0:PI7BV8MQ15	4	6
PI00034XQ0:PI7GKUE8N5	2	0
PI00034XQ0:PI7QCR12B9	10	8
PI00034XQ0:PI7QHADAU1	14	9
PI00034XQ0:PI7R459EE7	21	9
PI00034XQ0:PI7UDTF8F5	3	4
PI00034XQ0:PI80XA8110	13	9
PI00034XQ0:PI825M6R93	2	0
PI00034XQ0:PI84MP1427	2	0
PI00034XQ0:PI8555UF07	2	0
PI00034XQ0:PI87KV73T4	17	9
PI00034XQ0:PI8C81R196	2	0
PI00034XQ0:PI8CXXPGN7	4	6
PI00034XQ0:PI8EUTTD95	3	4
PI00034XQ0:PI8GQWD8C0	2	0
PI00034XQ0:PI8J5UKEC8	3	4
PI00034XQ0:PI8MK58143	2	0
PI00034XQ0:PI8TW5FBC8	5	6
PI00034XQ0:PI92WH6NH3	2	0
PI00034XQ0:PI93RG1UF8	4	6
PI00034XQ0:PI9877KKQ7	3	4
PI00034XQ0:PI98999CX9	2	0
PI00034XQ0:PI9B14P0G7	3	4
PI00034XQ0:PI9BW6V436	2	0
PI00034XQ0:PI9F4HP5B3	2	0
PI00034XQ0:PI9KRDUNE2	5	6
PI00034XQ0:PI9QDGHFV2	2	0
PI00034XQ0:PI9WD27NT4	24	9
PI00034XQ0:PIA0DD36W2	3	4
PI00034XQ0:PIA636AH01	42	9
PI00034XQ0:PIA7PUXD16	2	0
PI00034XQ0:PIA8904B88	10	8
PI00034XQ0:PIADU5DGE8	2	0
PI00034XQ0:PIAF1KBCH3	9	8
PI00034XQ0:PIAQ3BV8B2	2	0
PI00034XQ0:PIAQACP2C2	3	4
PI00034XQ0:PIAT7RV7M1	4	6
PI00034XQ0:PIAVXP2464	4	6
PI00034XQ0:PIAXE19HU8	5	6
PI00034XQ0:PIB39VGFF9	4	6
PI00034XQ0:PIB5J80HE3	3	4
PI00034XQ0:PIBBU4BEH7	3	4
PI00034XQ0:PIBCTJJDE7	2	0
PI00034XQ0:PIBG0FTR41	15	9
PI00034XQ0:PIBHPGGE37	7	8
PI00034XQ0:PIBHQQW1M1	4	6
PI00034XQ0:PIBK0MJJC7	37	9
PI00034XQ0:PIBW1A7845	3	4
PI00034XQ0:PIBX13J2N7	21	9
PI00034XQ0:PIBX92C027	10	8
PI00034XQ0:PIC3C1KPV9	4	6
PI00034XQ0:PICC0DQR67	30	9
PI00034XQ0:PICC1FC0P6	2	0
PI00034XQ0:PICCV2RVU4	2	0
PI00034XQ0:PICND435P6	2	0
PI00034XQ0:PICNPBJ0C5	5	6
PI00034XQ0:PICPFEN2X7	2	0
PI00034XQ0:PICXFWTKN2	3	4
PI00034XQ0:PID5UWBTR4	9	8
PI00034XQ0:PID5XR9RH9	5	6
PI00034XQ0:PID62BH9E8	4	6
PI00034XQ0:PID674KQT3	3	4
PI00034XQ0:PID6N9JK68	2	0
PI00034XQ0:PID83KMU14	2	0
PI00034XQ0:PIDADX79E2	2	0
PI00034XQ0:PIDFWADME8	5	6
PI00034XQ0:PIDG0PUHH7	12	9
PI00034XQ0:PIDJ665C83	2	0
PI00034XQ0:PIDQ2P3UE2	4	6
PI00034XQ0:PIDRJ5QU09	8	8
PI00034XQ0:PIDRU6D8X0	2	0
PI00034XQ0:PIE0U64B00	11	8
PI00034XQ0:PIE1JXC0D7	19	9
PI00034XQ0:PIE5NUXQ00	3	4
PI00034XQ0:PIE5W4NPC6	2	0
PI00034XQ0:PIE7BTXA56	12	9
PI00034XQ0:PIE8F41DB3	3	4
PI00034XQ0:PIEDX7FC09	2	0
PI00034XQ0:PIEGPHPQ81	2	0
PI00034XQ0:PIEGWVH0K1	5	6
PI00034XQ0:PIEJ4QF642	3	4
PI00034XQ0:PIEKN84MC4	3	4
PI00034XQ0:PIERA8HK59	3	4
PI00034XQ0:PIEUPFNDA4	17	9
PI00034XQ0:PIEUWV51P2	4	6
PI00034XQ0:PIF02JU5A6	7	8
PI00034XQ0:PIF2FVF3D9	3	4
PI00034XQ0:PIF3616VT9	4	6
PI00034XQ0:PIF43T0B68	2	0
PI00034XQ0:PIF4H1MVP3	2	0
PI00034XQ0:PIF4K100C3	2	0
PI00034XQ0:PIFA3H11A7	7	8
PI00034XQ0:PIFBUUEVA4	2	0
PI00034XQ0:PIFNK79BU7	2	0
PI00034XQ0:PIFNXHF9P8	3	4
PI00034XQ0:PIFPRDPCH8	2	0
PI00034XQ0:PIFUXG7NT0	43	9
PI00034XQ0:PIG0D4QWJ1	2	0
PI00034XQ0:PIGDMJBUP9	4	6
PI00034XQ0:PIGDP6BP96	2	0
PI00034XQ0:PIGH20XCW6	4	6
PI00034XQ0:PIGMQEE4V4	2	0
PI00034XQ0:PIGQ7EC5V0	10	8
PI00034XQ0:PIGTUEWX39	2	0
PI00034XQ0:PIGV16BQW1	16	9
PI00034XQ0:PIGVA7KE02	4	6
PI00034XQ0:PIH0HKU2M9	22	9
PI00034XQ0:PIH8RWBXD0	6	7
PI00034XQ0:PIHA20GE18	11	8
PI00034XQ0:PIHB7H9PK0	3	4
PI00034XQ0:PIHDBCD6E4	7	8
PI00034XQ0:PIHE1BG4R5	5	6
PI00034XQ0:PIHP1BVV00	4	6
PI00034XQ0:PIHRU77H11	5	6
PI00034XQ0:PIJ2X2NXX6	2	0
PI00034XQ0:PIJ8U4AK23	9	8
PI00034XQ0:PIJFRUCJF9	2	0
PI00034XQ0:PIJGVVD6A1	8	8
PI00034XQ0:PIJJEKFB23	50	9
