VAR1	COUNT	cq
PI000JQH97:PIJ8QKKC61	16	9
PI000JQH97:PIJ972XWP3	6	7
PI000JQH97:PIJ9U1XD50	3	4
PI000JQH97:PIJARB37J6	27	9
PI000JQH97:PIJBWUR2D3	8	8
PI000JQH97:PIJD9WMH43	2	0
PI000JQH97:PIJEVJC287	2	0
PI000JQH97:PIJJM5EQE3	3	4
PI000JQH97:PIJNT6U457	2	0
PI000JQH97:PIJP5N5KM1	2	0
PI000JQH97:PIJQWA39R7	2	0
PI000JQH97:PIJXWJ9P52	2	0
PI000JQH97:PIK2P4V652	2	0
PI000JQH97:PIK8P2XCQ3	24	9
PI000JQH97:PIKBVX3517	2	0
PI000JQH97:PIKEUBBBV7	4	6
PI000JQH97:PIKJ3P0AB9	2	0
PI000JQH97:PIKT72EQR4	4	6
PI000JQH97:PIKU9U5921	9	8
PI000JQH97:PIM0B6B4N5	3	4
PI000JQH97:PIM2A76RH9	4	6
PI000JQH97:PIM30MX5H5	6	7
PI000JQH97:PIM3EG7K71	3	4
PI000JQH97:PIM4MJ52V5	5	6
PI000JQH97:PIM98VPKW0	11	8
PI000JQH97:PIMB5AQN55	12	9
PI000JQH97:PIMB80B8P9	4	6
PI000JQH97:PIMGV73D81	2	0
PI000JQH97:PIMMK5Q5E8	4	6
PI000JQH97:PIMQCC7GB8	6	7
PI000JQH97:PIMTH7RWW9	6	7
PI000JQH97:PIMUEHWFM5	5	6
PI000JQH97:PIMV17CFE5	3	4
PI000JQH97:PIN0UX8R97	2	0
PI000JQH97:PIN2WQR1E5	2	0
PI000JQH97:PIN3N72RX3	2	0
PI000JQH97:PIN3XF0XU7	2	0
PI000JQH97:PIN4532GP6	2	0
PI000JQH97:PIN651RFW0	2	0
PI000JQH97:PIN6NR9MC5	3	4
PI000JQH97:PIN9C44KK5	5	6
PI000JQH97:PINBPFM1T4	2	0
PI000JQH97:PINDKN6J11	2	0
PI000JQH97:PINDUM5QM2	3	4
PI000JQH97:PINGDG3JP7	17	9
PI000JQH97:PINH4AJV93	14	9
PI000JQH97:PINK405GP9	2	0
PI000JQH97:PINM5BX543	4	6
PI000JQH97:PINN3ABKB8	2	0
PI000JQH97:PINN6K9G84	3	4
PI000JQH97:PINN89JX49	2	0
PI000JQH97:PINPD7QFT9	4	6
PI000JQH97:PINPE3C6K0	5	6
PI000JQH97:PINQHNNCM7	2	0
PI000JQH97:PINR8X49N9	9	8
PI000JQH97:PINWXE4CR4	19	9
PI000JQH97:PIP28MGTG4	2	0
PI000JQH97:PIP4FQDRF0	3	4
PI000JQH97:PIP7E26BX6	2	0
PI000JQH97:PIPFC9EH36	2	0
PI000JQH97:PIPFFKTNV1	2	0
PI000JQH97:PIPH1B4957	2	0
PI000JQH97:PIPHQDBW26	2	0
PI000JQH97:PIPJCWBG15	3	4
PI000JQH97:PIPMWQ6UU9	4	6
PI000JQH97:PIPNWQU0K3	2	0
PI000JQH97:PIPQ9XP1E1	2	0
PI000JQH97:PIPTWKF6T1	6	7
PI000JQH97:PIQ0TETMQ2	2	0
PI000JQH97:PIQ2DAPNT6	3	4
PI000JQH97:PIQ39EG7H3	2	0
PI000JQH97:PIQ4MFCB68	4	6
PI000JQH97:PIQ68NCGH1	3	4
PI000JQH97:PIQA81WHJ7	4	6
PI000JQH97:PIQAVARNP9	3	4
PI000JQH97:PIQBV0PN55	5	6
PI000JQH97:PIQEQJKF93	2	0
PI000JQH97:PIQKDGFK72	6	7
PI000JQH97:PIQM7J6HD6	2	0
PI000JQH97:PIQN6HJ9H7	6	7
PI000JQH97:PIQVB3N8X1	2	0
PI000JQH97:PIQVDJTJV0	13	9
PI000JQH97:PIR3XQA152	9	8
PI000JQH97:PIRB4R1MA0	9	8
PI000JQH97:PIREHURTG3	2	0
PI000JQH97:PIRHB24UK5	2	0
PI000JQH97:PIRJT91QV9	2	0
PI000JQH97:PIRK4KHHM7	2	0
PI000JQH97:PIRKUPR7H3	4	6
PI000JQH97:PIRN1GDGE0	7	8
PI000JQH97:PIRP9QDQA3	2	0
PI000JQH97:PIRVHW4G80	4	6
PI000JQH97:PIRXNCCQG5	2	0
PI000JQH97:PIT2TKEXM8	2	0
PI000JQH97:PIT3750371	2	0
PI000JQH97:PIT7BRRX11	17	9
PI000JQH97:PITB5W87G9	2	0
PI000JQH97:PITC0ERP36	10	8
PI000JQH97:PITCBUGV90	4	6
PI000JQH97:PITD90JGQ5	2	0
PI000JQH97:PITDUCG0U9	2	0
PI000JQH97:PITGM7T1J5	17	9
PI000JQH97:PITM3KBHW6	3	4
PI000JQH97:PITU3AUV24	7	8
PI000JQH97:PITUPPGB68	3	4
PI000JQH97:PITUXX4983	2	0
PI000JQH97:PIU01XJJ98	4	6
PI000JQH97:PIU1E1WK28	2	0
PI000JQH97:PIU7ED9U99	3	4
PI000JQH97:PIUAV7QUH9	4	6
PI000JQH97:PIUBCRTW20	3	4
PI000JQH97:PIUC7TKT75	2	0
PI000JQH97:PIUF215A47	3	4
PI000JQH97:PIUG808594	2	0
PI000JQH97:PIUJDTE9W1	2	0
PI000JQH97:PIUJDUT4A8	2	0
PI000JQH97:PIUQMABB10	2	0
PI000JQH97:PIUV818HH0	4	6
PI000JQH97:PIVB0A9Q33	14	9
PI000JQH97:PIVCA67DN8	3	4
PI000JQH97:PIVE8XQ8C9	2	0
PI000JQH97:PIVG9TVAR9	3	4
PI000JQH97:PIVM3UCT71	3	4
PI000JQH97:PIVM46C4C6	2	0
PI000JQH97:PIVN3URAF1	3	4
PI000JQH97:PIVQ1M4FD6	10	8
PI000JQH97:PIVV6KRG30	2	0
PI000JQH97:PIVVTQXA39	3	4
PI000JQH97:PIW0E35VX2	2	0
PI000JQH97:PIW1BC6K16	5	6
PI000JQH97:PIW1CC9FA7	6	7
PI000JQH97:PIW38PD2J7	4	6
PI000JQH97:PIW3M8HB71	2	0
PI000JQH97:PIW4498U35	2	0
PI000JQH97:PIW5RJAQ06	4	6
PI000JQH97:PIWA63QGR8	2	0
PI000JQH97:PIWBN58813	2	0
PI000JQH97:PIWGAUXU00	2	0
PI000JQH97:PIWKKUE475	3	4
PI000JQH97:PIWPCVM829	5	6
PI000JQH97:PIWPWC7RK3	2	0
PI000JQH97:PIWU0J9FP5	3	4
PI000JQH97:PIWU16UQ74	3	4
PI000JQH97:PIWU2UUM48	2	0
PI000JQH97:PIX0F7AKF2	2	0
PI000JQH97:PIX2A68NJ3	2	0
PI000JQH97:PIX59J4WB6	2	0
PI000JQH97:PIX6W4XVW6	4	6
PI000JQH97:PIX97EKU43	3	4
PI000JQH97:PIXF238U59	3	4
PI000JQH97:PIXGBD3CE8	6	7
PI000JQH97:PIXH0BJ8G4	2	0
PI000JQH97:PIXJN1E144	13	9
PI000JQH97:PIXNGV0C89	5	6
PI000JQH97:PIXPVA0X31	4	6
PI000JQH97:PIXQG42GQ1	2	0
PI000JQH97:PIXRR50GG4	5	6
PI000JQH97:PIXTQQV7Q6	2	0
PI000JQH97:PIXUE7PD92	3	4
PI000JQH97:PIXWEX6U31	2	0
PI000KFG95:PI0290M7E7	8	8
PI000KFG95:PI05UW4B12	4	6
PI000KFG95:PI09BHFAW3	4	6
PI000KFG95:PI09W62QB8	3	4
PI000KFG95:PI0G08X9C6	2	0
PI000KFG95:PI0JCT2222	4	6
PI000KFG95:PI0PDKUXB7	12	9
PI000KFG95:PI0QD11C56	2	0
PI000KFG95:PI0REVRXD6	2	0
PI000KFG95:PI13J1K7U4	2	0
PI000KFG95:PI18E35813	2	0
PI000KFG95:PI18TUDD72	2	0
PI000KFG95:PI1BCBQPE2	6	7
PI000KFG95:PI1GK57VQ7	2	0
PI000KFG95:PI1HVQ4U67	2	0
PI000KFG95:PI1P6E24H5	3	4
PI000KFG95:PI1XA5CJ36	2	0
PI000KFG95:PI2AB5D5Q9	12	9
PI000KFG95:PI2ATUED88	3	4
PI000KFG95:PI2C2BN2H6	2	0
PI000KFG95:PI2CQ84VK2	10	8
PI000KFG95:PI2CR12GE6	2	0
PI000KFG95:PI2K3UTKR0	4	6
PI000KFG95:PI2PRAXQP1	5	6
PI000KFG95:PI309AHE92	2	0
PI000KFG95:PI36QWAH31	2	0
PI000KFG95:PI3AVACKQ2	2	0
PI000KFG95:PI3DP9HWA3	2	0
PI000KFG95:PI3F0A7BW1	2	0
PI000KFG95:PI3HQWA326	3	4
PI000KFG95:PI3P99PKA4	3	4
PI000KFG95:PI3RKF94C2	8	8
PI000KFG95:PI3VF9D5Q2	3	4
PI000KFG95:PI3VKFNB33	10	8
PI000KFG95:PI44XAJWE2	4	6
PI000KFG95:PI471QWH76	2	0
PI000KFG95:PI4B9MNAQ1	2	0
PI000KFG95:PI4C8JTBP8	2	0
PI000KFG95:PI4CB7P0T7	2	0
PI000KFG95:PI4CE79J85	2	0
PI000KFG95:PI4CWXAMJ2	4	6
PI000KFG95:PI4E4KN6F7	8	8
PI000KFG95:PI4FD4KRG3	4	6
PI000KFG95:PI51NBJC60	26	9
PI000KFG95:PI52M9N850	2	0
PI000KFG95:PI52T8HXM9	4	6
PI000KFG95:PI55W9C618	15	9
PI000KFG95:PI59414QQ6	13	9
PI000KFG95:PI5B19K3X2	2	0
PI000KFG95:PI5N6P7HV2	2	0
PI000KFG95:PI5RMGPK73	3	4
PI000KFG95:PI69NWJ4T9	5	6
PI000KFG95:PI6G1WR878	2	0
PI000KFG95:PI6MUXBFU9	3	4
PI000KFG95:PI6PUH08H8	3	4
PI000KFG95:PI6U5XTBH5	3	4
PI000KFG95:PI765KXEA4	10	8
PI000KFG95:PI7J05C0A4	2	0
PI000KFG95:PI7J8AQ551	4	6
PI000KFG95:PI7NKVPCM8	5	6
PI000KFG95:PI7PUV69G6	3	4
PI000KFG95:PI7TW4UVB6	3	4
PI000KFG95:PI7UNPQF86	7	8
PI000KFG95:PI82A6FG92	8	8
PI000KFG95:PI8EKFGKR5	2	0
PI000KFG95:PI8GDPJN55	11	8
PI000KFG95:PI8HXP4130	3	4
PI000KFG95:PI8J5J12B6	2	0
PI000KFG95:PI8J9T2W07	3	4
PI000KFG95:PI8KT8V4T0	3	4
PI000KFG95:PI8VB25Q96	3	4
PI000KFG95:PI8XJ92001	2	0
PI000KFG95:PI907EWQW0	17	9
PI000KFG95:PI9F08EWK0	2	0
PI000KFG95:PI9K569B11	2	0
PI000KFG95:PI9T8GCD52	3	4
PI000KFG95:PI9WBJEWJ7	2	0
PI000KFG95:PIA5N25BB5	22	9
PI000KFG95:PIA91BB795	2	0
PI000KFG95:PIAFJ64PH9	3	4
PI000KFG95:PIAJ70QXV2	2	0
PI000KFG95:PIAQEPKN05	2	0
PI000KFG95:PIAU712XF3	5	6
PI000KFG95:PIAXKQ2F46	2	0
PI000KFG95:PIB0KP6RW9	2	0
PI000KFG95:PIB29B9GH4	2	0
PI000KFG95:PIB47K1UA6	6	7
PI000KFG95:PIB7QDNGE1	3	4
PI000KFG95:PIBCXWMUG0	2	0
PI000KFG95:PIBDNRD2F4	2	0
PI000KFG95:PIBJ110180	2	0
PI000KFG95:PIBKQKTE68	2	0
PI000KFG95:PIBMGHP8M0	2	0
PI000KFG95:PIBVNT3EX5	3	4
PI000KFG95:PIC6C82N68	8	8
PI000KFG95:PIC7WF1HK7	3	4
PI000KFG95:PICUJR54E4	8	8
PI000KFG95:PICXDWU107	2	0
PI000KFG95:PID7MP8VU8	28	9
PI000KFG95:PIDC0DUP49	3	4
PI000KFG95:PIDFMB04V0	2	0
PI000KFG95:PIDUT4HMH7	6	7
PI000KFG95:PIDVTKHE29	9	8
PI000KFG95:PIDVX997T9	4	6
PI000KFG95:PIE3C0GT88	3	4
PI000KFG95:PIEANGMBM5	2	0
PI000KFG95:PIECJ75KX4	6	7
PI000KFG95:PIED16GWP6	5	6
PI000KFG95:PIEEA41R75	2	0
PI000KFG95:PIEHDJEB15	2	0
PI000KFG95:PIEHVG8MV5	7	8
PI000KFG95:PIEKGPGQD7	2	0
PI000KFG95:PIERRX1VA7	3	4
PI000KFG95:PIEXK7VUG1	3	4
PI000KFG95:PIF0E0DDW0	2	0
PI000KFG95:PIF87ANG99	2	0
PI000KFG95:PIFBP0CVN5	5	6
PI000KFG95:PIFCFNX4T6	2	0
PI000KFG95:PIFF91CT59	4	6
PI000KFG95:PIG3A75H79	2	0
PI000KFG95:PIG7ACM021	3	4
PI000KFG95:PIGA55TGF2	6	7
PI000KFG95:PIGDV42KJ8	3	4
PI000KFG95:PIGE3XHGX5	5	6
PI000KFG95:PIGKJH9J39	3	4
PI000KFG95:PIGP3TTCR1	8	8
PI000KFG95:PIGU0UR5K4	5	6
PI000KFG95:PIGV2CV587	4	6
PI000KFG95:PIH0H4RWP9	2	0
PI000KFG95:PIH2KTQ371	3	4
PI000KFG95:PIH3HUB341	4	6
PI000KFG95:PIH6W1NW13	8	8
PI000KFG95:PIHJ3MWX99	4	6
PI000KFG95:PIHMQ8X5E1	2	0
PI000KFG95:PIHN7MJ089	5	6
PI000KFG95:PIHQ4WGT44	3	4
PI000KFG95:PIJ0MVBDB7	18	9
PI000KFG95:PIJ1U35028	4	6
PI000KFG95:PIJ7TXPA97	14	9
PI000KFG95:PIJBE76JG2	2	0
PI000KFG95:PIJDERUTV8	2	0
PI000KFG95:PIJF6AN0R9	2	0
PI000KFG95:PIJMAQC6C4	9	8
PI000KFG95:PIJW134KD0	2	0
PI000KFG95:PIJXJR8WV7	3	4
PI000KFG95:PIJXRFHWP9	2	0
PI000KFG95:PIK0RXNGX3	3	4
PI000KFG95:PIK7211BR1	2	0
PI000KFG95:PIK97D2UR7	8	8
PI000KFG95:PIKB5CUF10	9	8
PI000KFG95:PIKCRBHC61	4	6
PI000KFG95:PIKFHT1JK4	2	0
PI000KFG95:PIKURKTED2	3	4
PI000KFG95:PIKVCMXMD5	3	4
PI000KFG95:PIKWT6K7K7	2	0
PI000KFG95:PIMNBN0NU6	16	9
PI000KFG95:PIMX4P7R38	10	8
PI000KFG95:PIN55NP5R6	2	0
PI000KFG95:PIN9A001U6	2	0
PI000KFG95:PINB97KM69	3	4
PI000KFG95:PINHGNGR15	2	0
PI000KFG95:PINMH7UBU8	2	0
PI000KFG95:PINVK4MXQ0	5	6
PI000KFG95:PINX5T0KD6	10	8
PI000KFG95:PIP0D2E2C1	11	8
PI000KFG95:PIP2Q60GN4	2	0
PI000KFG95:PIP3R193N0	12	9
PI000KFG95:PIPC3PJF65	2	0
PI000KFG95:PIPDQ3BPK4	3	4
PI000KFG95:PIPG9XJ148	3	4
PI000KFG95:PIPM1GC759	4	6
PI000KFG95:PIPQBP6V55	2	0
PI000KFG95:PIQ0HRG0Q7	6	7
PI000KFG95:PIQ2MBF2V6	4	6
PI000KFG95:PIQ518QEJ2	2	0
PI000KFG95:PIQ7K0Q3P6	6	7
PI000KFG95:PIQAMFA7X6	2	0
PI000KFG95:PIQGMKPPH2	2	0
PI000KFG95:PIQMT0R4Q2	3	4
PI000KFG95:PIQMUBDAP3	10	8
PI000KFG95:PIQPR4CQU8	2	0
PI000KFG95:PIQWNHAPX7	6	7
PI000KFG95:PIQX3J26A4	2	0
PI000KFG95:PIR1E1N292	2	0
PI000KFG95:PIR4WM0FD1	2	0
PI000KFG95:PIR953TCK8	3	4
PI000KFG95:PIRHWK3G27	2	0
PI000KFG95:PIRJNDJD92	7	8
PI000KFG95:PIRMHKF0F9	2	0
PI000KFG95:PIRR8JG3R5	4	6
PI000KFG95:PIT7RV9JD3	2	0
PI000KFG95:PITD6D6ND6	2	0
PI000KFG95:PITF19UTC7	4	6
PI000KFG95:PITHUBTAR5	3	4
PI000KFG95:PITNV9DWA0	2	0
PI000KFG95:PITQWFV2A4	2	0
PI000KFG95:PITWREV4M1	11	8
PI000KFG95:PITXQXR3A2	4	6
PI000KFG95:PIU4U92E67	2	0
PI000KFG95:PIUAHUFTD7	4	6
PI000KFG95:PIUBEUX3D0	6	7
PI000KFG95:PIUF497K78	4	6
PI000KFG95:PIUGBXTNM8	3	4
PI000KFG95:PIUH79JN56	3	4
PI000KFG95:PIUH7JEJ18	2	0
PI000KFG95:PIUMDMGAE9	2	0
PI000KFG95:PIUMR0F8D3	2	0
PI000KFG95:PIUQ8UUPP9	2	0
PI000KFG95:PIUT0REHX4	3	4
PI000KFG95:PIUXD2E9R8	2	0
PI000KFG95:PIV1VFD0C9	2	0
PI000KFG95:PIV20KV6P4	2	0
PI000KFG95:PIV3DV78F9	7	8
PI000KFG95:PIV4U7KFK1	6	7
PI000KFG95:PIVC2TMKD4	22	9
PI000KFG95:PIVF4VHNB5	2	0
PI000KFG95:PIVJKP0P36	2	0
PI000KFG95:PIW0PN4KP3	2	0
PI000KFG95:PIW369BQA4	2	0
PI000KFG95:PIW4HWFRA6	2	0
PI000KFG95:PIW8AVE1W6	8	8
PI000KFG95:PIWB6VJ322	2	0
PI000KFG95:PIWDF3F543	2	0
PI000KFG95:PIWFQUU1W1	2	0
PI000KFG95:PIWRKJ6ER6	3	4
PI000KFG95:PIWU74BVR3	2	0
PI000KFG95:PIWVB22EN2	5	6
PI000KFG95:PIX2FXE473	2	0
PI000KFG95:PIX45J4HV5	2	0
PI000KFG95:PIX7J5WP23	5	6
PI000KFG95:PIXBXGK849	2	0
PI000KFG95:PIXP7EBTH4	6	7
PI000KFG95:PIXPD0BHU4	3	4
PI000KFG95:PIXQG7V170	3	4
PI000KFG95:PIXU7PQAM3	2	0
PI000KFG95:PIXXVUFT23	2	0
PI000MABH4:PI02A2BU86	2	0
PI000MABH4:PI06P2BKR9	5	6
PI000MABH4:PI08VNFAT1	5	6
PI000MABH4:PI0F6KW049	7	8
PI000MABH4:PI0FA70DP0	18	9
PI000MABH4:PI0M33QAW8	36	9
PI000MABH4:PI0Q778XD4	6	7
PI000MABH4:PI0R0A3683	2	0
PI000MABH4:PI0RQ2A695	23	9
PI000MABH4:PI0X3B9UU0	7	8
PI000MABH4:PI0XEJEG86	2	0
PI000MABH4:PI1JCWEAW5	4	6
PI000MABH4:PI1KGPAF59	23	9
PI000MABH4:PI1RJ3X4G8	6	7
PI000MABH4:PI1UFW0PD9	7	8
PI000MABH4:PI1XRJQE30	8	8
PI000MABH4:PI21GJJB93	3	4
PI000MABH4:PI24U5TWQ2	11	8
PI000MABH4:PI257NA522	5	6
PI000MABH4:PI26BGFEF2	10	8
PI000MABH4:PI2BK0M184	4	6
PI000MABH4:PI2CTE68T2	2	0
PI000MABH4:PI2MUG9TK8	5	6
PI000MABH4:PI2RF18XG0	6	7
PI000MABH4:PI2RXGE9J0	16	9
PI000MABH4:PI2UW8JK01	12	9
PI000MABH4:PI30PXU9M7	4	6
PI000MABH4:PI36EVM9R5	4	6
PI000MABH4:PI3B8XUMN1	12	9
PI000MABH4:PI3C76XR91	2	0
PI000MABH4:PI3G6TT5N8	3	4
PI000MABH4:PI3JMCN7A9	8	8
PI000MABH4:PI3PE1VU30	2	0
PI000MABH4:PI3TUHFBR6	4	6
PI000MABH4:PI42XWP5Q4	2	0
PI000MABH4:PI45MN94B7	10	8
PI000MABH4:PI48847UN2	10	8
PI000MABH4:PI48NK91C0	15	9
PI000MABH4:PI49QR7C75	2	0
PI000MABH4:PI4B28WB59	2	0
PI000MABH4:PI4CNU4HW9	5	6
PI000MABH4:PI4MN9TTC8	2	0
PI000MABH4:PI4QC72AF2	15	9
PI000MABH4:PI4TB12WK9	107	9
PI000MABH4:PI4UG44BH2	2	0
PI000MABH4:PI4V6DVDJ6	10	8
PI000MABH4:PI4X7BPP79	6	7
PI000MABH4:PI56UE8Q17	8	8
PI000MABH4:PI596CUQQ3	2	0
PI000MABH4:PI5AUTVU89	2	0
PI000MABH4:PI5GA3V626	2	0
PI000MABH4:PI5PDTP6N9	2	0
PI000MABH4:PI5Q3MFAQ4	2	0
PI000MABH4:PI5Q7TC8K8	2	0
PI000MABH4:PI5V6C7MV5	2	0
PI000MABH4:PI61CP1V43	2	0
PI000MABH4:PI61EHNTF0	4	6
PI000MABH4:PI62G8NHE6	15	9
PI000MABH4:PI67R2FX70	15	9
PI000MABH4:PI69BHAN73	4	6
PI000MABH4:PI69KW5JA6	6	7
PI000MABH4:PI6ACEH9N8	2	0
PI000MABH4:PI6C77M452	5	6
PI000MABH4:PI6EAH4QU7	3	4
PI000MABH4:PI6EP1WT94	2	0
PI000MABH4:PI6F48DK53	42	9
PI000MABH4:PI6FT4TRE6	11	8
PI000MABH4:PI6QAUWFG5	34	9
PI000MABH4:PI6TP978P9	2	0
PI000MABH4:PI6X6KD323	9	8
PI000MABH4:PI6XAGJ249	4	6
PI000MABH4:PI70DWWHC6	2	0
PI000MABH4:PI75UW5AP2	7	8
PI000MABH4:PI7B1PEM29	3	4
PI000MABH4:PI7BTHX3E7	2	0
PI000MABH4:PI7EV3KFR3	4	6
PI000MABH4:PI7HCE0FQ2	4	6
PI000MABH4:PI7N9FCR73	7	8
PI000MABH4:PI7R544GF0	4	6
PI000MABH4:PI7R73F9H2	2	0
PI000MABH4:PI7XF5ADR4	2	0
PI000MABH4:PI7XWN1Q53	5	6
PI000MABH4:PI8BRB74C8	5	6
PI000MABH4:PI8DDUVGB8	5	6
PI000MABH4:PI8GH03DR5	2	0
PI000MABH4:PI8K7BAD86	3	4
PI000MABH4:PI8KEPHC21	2	0
PI000MABH4:PI8MUBMJK6	2	0
PI000MABH4:PI8PQTFRN5	2	0
PI000MABH4:PI8QK4N2W3	4	6
PI000MABH4:PI8XNA8KC3	4	6
PI000MABH4:PI914FVV56	31	9
PI000MABH4:PI941QCT98	2	0
PI000MABH4:PI98NKUAE8	3	4
PI000MABH4:PI9APAPTP3	3	4
PI000MABH4:PI9HBV1DB7	39	9
PI000MABH4:PI9J97AEW5	5	6
PI000MABH4:PI9KMKT472	16	9
PI000MABH4:PI9Q4ECQN6	3	4
PI000MABH4:PI9V9BRD22	2	0
PI000MABH4:PI9XEGEXT2	10	8
PI000MABH4:PIA06UJXF4	2	0
PI000MABH4:PIA53T9277	2	0
PI000MABH4:PIA55CU8P9	2	0
PI000MABH4:PIA5BHJF67	2	0
PI000MABH4:PIA73C3WM3	6	7
PI000MABH4:PIAAGA8P39	10	8
PI000MABH4:PIAD489N54	6	7
PI000MABH4:PIAFTN40J3	3	4
PI000MABH4:PIAG2VT5G6	2	0
PI000MABH4:PIAJC1X275	3	4
PI000MABH4:PIAQWJXWJ5	2	0
PI000MABH4:PIAT4P9EE3	2	0
PI000MABH4:PIATA5MW07	7	8
PI000MABH4:PIATMGWT23	2	0
PI000MABH4:PIATXXQ119	2	0
PI000MABH4:PIB8W60QU4	6	7
PI000MABH4:PIBDA5PJQ3	3	4
PI000MABH4:PIBFH769K2	19	9
PI000MABH4:PIBHB0R1F8	5	6
PI000MABH4:PIBK456UP5	2	0
PI000MABH4:PIBPPJEUH6	13	9
PI000MABH4:PIBT61G1U8	2	0
PI000MABH4:PIBT8F6931	15	9
PI000MABH4:PIBUFBJ9A1	2	0
PI000MABH4:PIC16TDA30	3	4
PI000MABH4:PIC1B912C6	3	4
PI000MABH4:PIC475E4Q6	6	7
PI000MABH4:PIC66ACPQ7	3	4
PI000MABH4:PIC78Q6XM8	9	8
PI000MABH4:PICFRVB398	28	9
PI000MABH4:PICHCH7RD2	4	6
PI000MABH4:PICRX5FMJ9	2	0
PI000MABH4:PID0JGUDP6	60	9
PI000MABH4:PID34BMU05	3	4
PI000MABH4:PID4NHU6W2	3	4
PI000MABH4:PIDB5TQQK7	10	8
PI000MABH4:PIDBAPRUH0	10	8
PI000MABH4:PIDD5PERJ6	2	0
PI000MABH4:PIDEKU9G88	54	9
PI000MABH4:PIDF4BXNG9	7	8
PI000MABH4:PIDH45PFH4	2	0
PI000MABH4:PIDJTXFHT9	23	9
PI000MABH4:PIDK7X3HD7	2	0
PI000MABH4:PIDN3CP806	8	8
PI000MABH4:PIDQHRW8V2	2	0
PI000MABH4:PIDWP58A66	21	9
PI000MABH4:PIDX4N7QP7	2	0
PI000MABH4:PIEAQJ1FC7	2	0
PI000MABH4:PIEDP13WV6	3	4
PI000MABH4:PIEG1QKT01	7	8
PI000MABH4:PIEGKJ94K0	24	9
PI000MABH4:PIENVD6BU4	2	0
PI000MABH4:PIER0QW2Q6	3	4
PI000MABH4:PIEUH4FX98	2	0
PI000MABH4:PIF0R8FKK7	12	9
PI000MABH4:PIF1TVQC95	2	0
PI000MABH4:PIF3CB3BX0	3	4
PI000MABH4:PIFCXNM8X6	2	0
PI000MABH4:PIFP70QMU2	4	6
PI000MABH4:PIGDUGDVX7	2	0
PI000MABH4:PIGJ4G3267	2	0
PI000MABH4:PIGMN346X2	2	0
PI000MABH4:PIGU8RK859	5	6
PI000MABH4:PIGWMGD905	3	4
PI000MABH4:PIH5E34FE3	7	8
PI000MABH4:PIH9K0F795	2	0
PI000MABH4:PIHAX3RJC6	3	4
PI000MABH4:PIHD1V0UH0	2	0
PI000MABH4:PIHJWTWF73	2	0
PI000MABH4:PIHK0HQ582	2	0
PI000MABH4:PIHM6G1JT7	2	0
PI000MABH4:PIHN1BKAM6	3	4
PI000MABH4:PIHP2GQDB1	3	4
PI000MABH4:PIHU049VV6	29	9
PI000MABH4:PIHVW3JV02	3	4
PI000MABH4:PIJ0KWBTC9	2	0
PI000MABH4:PIJ3GKQ401	3	4
PI000MABH4:PIJA3TDA68	4	6
PI000MABH4:PIJDQFG112	2	0
PI000MABH4:PIJHMNRVW5	2	0
PI000MABH4:PIJKC08RR3	4	6
PI000MABH4:PIK0N16MK8	2	0
PI000MABH4:PIK2G02UG3	4	6
PI000MABH4:PIK2QEENW9	3	4
PI000MABH4:PIK36MX8P2	2	0
PI000MABH4:PIKH1C7R12	2	0
PI000MABH4:PIKT1F8PA5	29	9
PI000MABH4:PIM30K3P90	3	4
PI000MABH4:PIM5JUH682	2	0
PI000MABH4:PIM9TREKF3	2	0
PI000MABH4:PIMCJ2DP19	2	0
PI000MABH4:PIMEANGD41	5	6
PI000MABH4:PIMERG4V96	2	0
PI000MABH4:PIMKCNWXW1	19	9
PI000MABH4:PIMMCEACA1	6	7
PI000MABH4:PIMQCKVE75	16	9
PI000MABH4:PIMR2RR1U1	2	0
PI000MABH4:PIN3VFBGP6	3	4
PI000MABH4:PIN520CCW5	2	0
PI000MABH4:PIN8D9MK86	2	0
PI000MABH4:PIN8QAFUA1	3	4
PI000MABH4:PIN9D70XB3	11	8
PI000MABH4:PINAVMUB28	2	0
PI000MABH4:PINGUWG314	14	9
PI000MABH4:PINPBM1NJ5	3	4
PI000MABH4:PIP0D4GJF1	2	0
PI000MABH4:PIP2301QR2	2	0
PI000MABH4:PIP5A36058	34	9
PI000MABH4:PIPD1QJUR0	2	0
PI000MABH4:PIPJCQBMB8	17	9
PI000MABH4:PIPN3W8798	10	8
PI000MABH4:PIQ2AFQDN8	4	6
PI000MABH4:PIQ4UACGW7	2	0
PI000MABH4:PIQ99TN8D0	2	0
PI000MABH4:PIQ9KTQD71	38	9
PI000MABH4:PIQB0PPJW9	9	8
PI000MABH4:PIQBX50KK6	4	6
PI000MABH4:PIQDKAQWT9	3	4
PI000MABH4:PIQEDGA3B8	3	4
PI000MABH4:PIQEM0NND8	3	4
PI000MABH4:PIQJCEF2Q4	6	7
PI000MABH4:PIQP3C7V17	4	6
PI000MABH4:PIQQMCB5D9	2	0
PI000MABH4:PIR0TH07V2	3	4
PI000MABH4:PIR7M7E6J6	2	0
PI000MABH4:PIRA9KTVW6	2	0
PI000MABH4:PIRD783V66	4	6
PI000MABH4:PIRH414N63	20	9
PI000MABH4:PIRJ59W2Q4	2	0
PI000MABH4:PIRN5XGEU6	5	6
PI000MABH4:PIRTH3RM23	9	8
PI000MABH4:PIRUQKRJ81	2	0
PI000MABH4:PIRX57K634	2	0
PI000MABH4:PIT60FNAT5	12	9
