IDENTIFIER	NPI.x	HMS_POID.x	COUNT.x	NPI.y	HMS_POID.y	COUNT.y
1044320001	1619004041	PO4WJR59	270	1487781837	POMJ5972	270
1044320001	1619004041	PO4WJR59	270	1710030598	PO9B6782	270
1044320001	1619004041	PO4WJR59	270	1811023229	PO9G6GR5	270
1044570001	1306997390	POB5B6J9	385	1790790392	POUA5CF3	385
1044570001	1790790392	POUA5CF3	385	1306997390	POB5B6J9	385
1044910001	1801908819	POBEKCG7	395	1104120070	POBEKCG7	395
1044910001	1104120070	POBEKCG7	395	1801908819	POBEKCG7	395
1048840010	1073690392	POMPR740	12	1679650980	POBBTK67	12
1048840010	1679650980	POBBTK67	12	1073690392	POMPR740	12
1048840013	1164649372	POC69R12	-2	1134299225	POB99C73	-2
1048840013	1134299225	POB99C73	-2	1164649372	POC69R12	-2
1048840014	1134206451	POE17K50	25	1699074393	PO64RN29	25
1048840014	1134206451	POE17K50	25	1134299225	POB99C73	25
1048840014	1134299225	POB99C73	25	1134206451	POE17K50	25
1048840014	1134299225	POB99C73	25	1699074393	PO64RN29	25
1048840014	1699074393	PO64RN29	25	1134206451	POE17K50	25
1048840014	1699074393	PO64RN29	25	1134299225	POB99C73	25
1051910004	1932364478	POCU90W3	54357	1568514180	POCU90W3	54357
1051910004	1932364478	POCU90W3	54357	1033176318	POCU90W3	54357
1051910004	1033176318	POCU90W3	54357	1932364478	POCU90W3	54357
1051910004	1033176318	POCU90W3	54357	1568514180	POCU90W3	54357
1051910004	1568514180	POCU90W3	54357	1932364478	POCU90W3	54357
1051910004	1568514180	POCU90W3	54357	1033176318	POCU90W3	54357
1051910005	1639133432	POAMBR17	44	1285898544	POAE6RG6	44
1051910005	1285898544	POAE6RG6	44	1639133432	POAMBR17	44
1051910011	1326283953	POT25FA3	160	1174768774	POT25FA3	160
1051910011	1174768774	POT25FA3	160	1326283953	POT25FA3	160
1051990002	1104869452	POCB2H83	1550	1568404077	POW042N9	1550
1051990002	1568404077	POW042N9	1550	1104869452	POCB2H83	1550
1053830001	1477805612	POM75W34	13523	1437133956	POXCKK03	13523
1053830001	1477805612	POM75W34	13523	1922417732	POWNFUE8	13523
1053830001	1922417732	POWNFUE8	13523	1437133956	POXCKK03	13523
1053830001	1922417732	POWNFUE8	13523	1477805612	POM75W34	13523
1053830001	1437133956	POXCKK03	13523	1477805612	POM75W34	13523
1053830001	1437133956	POXCKK03	13523	1922417732	POWNFUE8	13523
1055000001	1841351954	PO0FMVW2	349	1558400192	POTG3757	349
1055000001	1841351954	PO0FMVW2	349	1104965003	PO9WBTA5	349
