HMS_POID	vec.discr.x	vec.discr.y
PO5A20G1	1	1
PO5CB7R5	1	NA
PO5DBQQ9	3	2
PO5DP4X7	3	1
PO5FBN89	1	NA
PO5H0P10	3	3
PO5JDM22	3	3
PO5NP9W5	3	3
PO5Q1V83	3	3
PO5Q5H91	3	3
PO5TNPH5	3	3
PO5UFQN3	2	3
PO5VF9X8	2	3
PO5WEUB7	3	3
PO5WFP00	3	3
PO61FQR5	3	2
PO684TD2	3	3
PO6A5U96	3	2
PO6AJXC7	4	3
PO6AXRU9	1	NA
PO6BXQG9	2	2
PO6CN176	3	3
PO6EDTJ5	1	1
PO6EVRW9	3	3
PO6FF871	2	2
PO6H3AE7	1	1
PO6H7B29	3	3
PO6H9102	3	3
PO6JN7J4	3	3
PO6JPD15	1	NA
PO6MRBC4	5	NA
PO6P4GM6	3	1
PO6P62R9	3	3
PO6U8K29	1	NA
PO6V0QQ4	3	3
PO6W1500	2	3
PO6XQG49	2	1
PO6XQJR2	3	3
PO70BKT9	3	3
PO71KJ52	1	1
PO723QA8	3	3
PO727349	3	3
PO72PQK8	3	3
PO738GM4	3	3
PO76B037	2	2
PO79X5E7	3	3
PO7A02V8	3	3
PO7A9TC7	1	1
PO7B6E11	3	3
PO7BFVM8	1	NA
PO7BVAW2	3	3
PO7C6MD4	3	3
PO7C7WB4	3	3
PO7D43B3	2	3
PO7F9M41	1	2
PO7FP0V2	3	1
PO7H0695	1	1
PO7MHU93	2	2
PO7N0FK0	3	3
PO7P8FV7	1	1
PO7Q6B07	3	3
PO7QB352	1	1
PO7R3HD7	1	2
PO7TFPV5	2	1
PO7WWCW9	3	3
PO7X1323	2	2
PO7XFGX3	2	2
PO81C049	4	3
PO822JP2	3	3
PO82WEX1	3	3
PO830200	3	2
PO85J3M9	1	1
PO87BBW2	3	3
PO8A9GB3	3	3
PO8AXER0	1	NA
PO8FHDR4	1	1
PO8HHT37	3	3
PO8HJTE7	1	1
PO8HR0E0	2	2
PO8J2FH5	3	3
PO8QH478	2	2
PO8QHA37	3	3
PO8RD925	3	3
PO8TWME5	3	3
PO8UWTP8	2	2
PO8W1D06	3	4
PO8WJ544	3	3
PO8WJGF9	3	2
PO8XJHK7	1	NA
PO913BX1	2	NA
PO91AX25	1	1
PO91AX41	1	NA
PO942CK7	3	3
PO94VJW9	3	3
PO98XV16	3	3
PO99HMK8	1	NA
PO9BM742	3	3
PO9BN265	1	NA
PO9EUHG8	2	2
PO9EWVT6	1	1
PO9H16Q2	3	3
PO9H6FE0	3	1
PO9J1958	1	1
PO9KP7T2	3	3
PO9M4KE9	1	3
PO9N1QC2	1	NA
PO9NC8C2	2	1
PO9NKRG6	3	3
PO9PGAU6	2	2
PO9QRK98	1	1
PO9R54E7	2	2
PO9RR9K5	1	NA
PO9U8W88	2	3
PO9UG4H3	3	3
PO9VJ324	3	3
PO9XB7W9	4	1
POA16XH0	1	1
POA38EN8	3	3
POA3N0V9	1	NA
POA4RXP8	1	NA
POA5K298	3	3
POA71K39	3	3
POA731U1	3	3
POA83GC2	3	3
POA8N9U9	3	3
POAA2DD0	3	3
POADUQM5	4	4
POAEGTC8	3	2
POAF5WK3	1	1
POAFXF15	3	3
POAHK3D3	1	NA
POAKVJD7	2	NA
POAMGKV8	3	3
POAP70T7	1	1
POARBR79	4	4
POATTA91	3	3
POAWCDR7	1	NA
POAWJ279	3	3
POB072K7	1	1
POB0RJX7	3	3
POB1N9V2	2	3
POB3C137	2	2
POB3RNB1	4	4
POB5DBH9	2	3
POB65BX2	2	2
POB8P5C0	3	3
POBC7B98	1	1
POBCH316	3	3
POBDMXJ6	1	NA
POBEM1P0	3	3
POBH16K9	2	1
POBKH538	2	3
POBKKQ50	4	4
POBRX908	3	3
POBTJ0X7	2	2
POBWWR93	2	2
POBXKAP1	3	3
POBXXKQ2	3	3
POC114B0	5	4
POC37KM5	3	3
POC56684	3	3
POC6P2R0	3	3
POC7MRP6	3	3
POC7R484	1	1
POC8NA61	1	NA
POC9DAR8	1	1
POCB0X30	3	3
POCCJA49	3	3
POCCMNT6	1	2
POCFRBP6	3	3
POCHV4D0	2	2
POCM5649	3	3
POCPC972	1	1
POCPU3V8	3	3
POCPVA30	3	3
POCV46F8	4	3
POCW9QV8	2	1
POCX0U50	1	1
POD041R9	1	2
POD4X5G9	1	NA
POD72MD8	1	1
POD7G713	2	NA
PODE7TC2	2	NA
PODFKRH2	3	3
PODG7MB6	3	3
PODGJVF1	1	1
PODHEQN7	1	NA
PODHGQ33	3	3
PODHU0K5	1	1
PODJDWG3	3	3
PODKQTB7	3	3
PODMBWC3	3	3
PODMREF3	1	NA
PODP3U87	2	3
PODQUPR4	3	3
PODRD483	3	3
PODREQD6	2	3
PODTEW20	2	NA
PODTQUK6	3	3
PODUJB36	4	3
PODW0EJ6	3	3
PODW98H7	1	1
PODWMA03	2	1
PODXB4R1	3	3
POE2WA07	2	2
POE3KMF6	1	NA
POE4U228	2	2
POEAVV87	1	1
POEBER93	3	2
POEBMVB7	3	3
POEC1D93	3	2
POEDJ2G2	3	3
POEDJUR4	3	3
POEDV1N9	2	2
POEE8714	1	1
POEH3TQ8	3	3
POEHA5E2	3	3
POEHP5A3	3	2
POEJTQ76	2	2
POEKECW0	2	2
POENJGQ5	1	4
POENUTG7	2	2
POERDUG9	1	1
POEUUXD3	3	2
POEV9PU1	3	3
POEVK993	1	1
POEVRT40	3	1
POF0UCT8	1	1
POF18A37	1	1
POF3AUQ9	3	3
POF62DV7	1	NA
POF76T21	3	3
POF7XC17	3	3
POF834U8	3	3
POF9K550	3	3
POFAHT55	2	1
POFB5BU7	3	3
POFCQA23	3	3
POFF11A6	2	1
POFG6E95	3	3
POFGA0G4	3	3
POFHU2A9	3	3
POFJ5KT1	2	2
POFNG6G6	4	1
POFNXJ36	3	2
POFPDJ17	3	3
POFRPUR3	3	3
POFUDP29	1	NA
POFUW457	3	3
POFX6G63	3	4
POG08C88	1	NA
POG312C6	1	1
POG8GJ07	2	2
POGA5H08	1	NA
POGB4HD0	3	3
POGBT0E1	1	1
POGF6J71	3	3
POGHJ6G9	1	NA
POGJW2J5	3	3
POGMKTC2	1	1
POGNBE71	3	2
POGR8R19	3	3
POGW06K2	1	2
POH00W39	1	1
POH0J860	2	3
POH0P2W7	1	2
POH2WXH1	3	3
POH34UF0	1	NA
POH510N1	1	1
POH5Q741	3	3
POH5V3A8	2	3
POH7FG44	3	3
POH8B0C4	3	3
POHB9P51	3	3
POHBEVX1	3	3
POHC1A37	3	4
POHC8366	4	3
POHDJ5G9	3	3
POHDKKM0	3	2
POHGXA35	3	4
POHH3BU1	3	2
POHPC8W6	3	3
POHRUX07	1	NA
POHUN157	1	1
POHUQ5N8	2	2
POHWE604	3	2
POHWKK47	3	3
POHWQFR8	3	3
POHXRED1	3	3
POJ011J7	2	NA
POJ339N9	5	5
POJ6VFJ3	3	3
POJ7JRV4	3	3
POJ9UTE3	2	3
POJ9WUA6	5	5
POJA7Q95	4	4
POJCCQA0	1	1
POJCMPN5	2	NA
POJG94G0	1	NA
POJGPDT6	3	3
POJH9X21	1	NA
POJJ3W39	2	3
POJKJD62	3	3
POJM3J06	2	2
POJM5277	3	3
POJN4AE0	1	NA
POJP4K06	1	1
POJPXAK9	3	3
POJTRCM3	2	2
POJU1W45	3	3
POJUQP17	3	3
POJVURX4	4	2
POJWR5C9	3	2
POK09PW7	3	3
POK4QM84	2	2
POK5KX02	3	3
POK5TH18	2	2
POK61W77	3	3
POK68652	2	2
POK7UUE2	3	2
POK83UP5	2	NA
POK8JV28	3	2
POKBV1E9	2	2
POKCPRH9	2	NA
POKDBGE3	2	2
POKE8QK5	1	NA
POKFEMR5	1	1
POKJJ193	3	3
POKKJWF7	3	3
POKPGCB2	2	3
POKQWMK4	3	3
POKW65Q6	2	3
POM032W8	4	4
POM0B5W3	3	3
POM0C276	3	3
POM1P4D0	4	4
POM4E449	2	NA
POM5D889	3	3
POM5F0B0	1	3
POM683A6	3	3
POMAEFG1	3	3
POMBDEC1	1	1
POMBH2W5	3	3
POMFCUV3	4	3
POMH9582	2	1
POMHC436	2	NA
POMHEP22	3	3
