HMS_POID	vec.discr.x	vec.discr.y
PO5UFQN3	3	3
PO5VF9X8	3	3
PO5WEUB7	3	3
PO5WFP00	3	3
PO61FQR5	2	2
PO63RCV2	1	NA
PO684TD2	3	3
PO6A5U96	2	2
PO6AJXC7	3	3
PO6BXQG9	2	2
PO6CN176	3	3
PO6DW067	1	NA
PO6EDTJ5	1	1
PO6EVRW9	3	3
PO6FF871	2	2
PO6H3AE7	1	NA
PO6H7B29	3	1
PO6H9102	3	3
PO6JN7J4	3	3
PO6KVX35	4	1
PO6P4GM6	1	NA
PO6P62R9	3	3
PO6UKM90	1	NA
PO6V0QQ4	3	3
PO6W1500	3	2
PO6XQG49	1	1
PO6XQJR2	3	4
PO704V52	1	NA
PO70BKT9	3	2
PO71KJ52	1	NA
PO723QA8	3	3
PO727349	3	3
PO72PQK8	3	3
PO738GM4	3	3
PO76B037	2	2
PO7757C5	1	3
PO79X5E7	3	3
PO7A02V8	3	NA
PO7A9TC7	1	1
PO7B6E11	3	3
PO7BVAW2	3	3
PO7C6MD4	3	3
PO7C7WB4	3	3
PO7D43B3	3	2
PO7F9M41	2	2
PO7FP0V2	1	NA
PO7FQBQ3	1	NA
PO7H0695	1	1
PO7MHU93	2	2
PO7N0FK0	3	3
PO7P8FV7	1	1
PO7Q6B07	3	3
PO7QB352	1	1
PO7R3HD7	2	2
PO7TFPV5	1	1
PO7WWCW9	3	3
PO7X1323	2	2
PO7XFGX3	2	2
PO81C049	3	3
PO822JP2	3	1
PO82WEX1	3	1
PO830200	2	2
PO83JF16	1	NA
PO85J3M9	1	2
PO87BBW2	3	3
PO8A9GB3	3	3
PO8D23E8	2	3
PO8FHDR4	1	1
PO8HHT37	3	4
PO8HJTE7	1	NA
PO8HR0E0	2	2
PO8J2FH5	3	NA
PO8QH478	2	NA
PO8QHA37	3	3
PO8RD925	3	3
PO8TWME5	3	3
PO8UWTP8	2	2
PO8W1D06	4	4
PO8WJ544	3	3
PO8WJGF9	2	2
PO903VM9	1	1
