PROCEDURE_CODE	Q12012	Q12013	Q12014	Q12015	Q12016	Q22012	Q22013	Q22014	Q22015	Q22016	Q32012	Q32013	Q32014	Q32015	Q32016	Q42012	Q42013	Q42014	Q42015	Q42016
L5697	0	0	31	27	23	0	0	35	24	22	0	59	43	22	0	0	38	33	53	0
L5707	0	0	19	19	11	0	0	28	15	17	0	21	25	24	0	0	20	28	24	0
L5712	0	0	23	14	11	0	0	30	19	10	0	18	20	24	0	0	15	24	25	0
L5714	2	1	0	0	0	3	3	3	0	0	0	1	1	1	0	2	1	1	2	0
L5726	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
L5728	0	0	2	0	2	0	0	6	3	1	0	6	1	9	0	0	4	0	1	0
L5795	0	0	4	1	1	0	0	3	6	2	0	3	2	3	0	0	4	5	3	0
L5824	0	0	4	6	3	0	0	2	3	4	0	4	6	9	0	0	4	3	10	0
L5855	0	0	24	19	16	0	0	23	17	18	0	18	17	25	0	0	22	29	20	0
L5930	0	0	83	71	61	0	0	73	78	80	0	84	96	77	0	0	104	86	106	0
L5961	0	0	4	10	5	0	0	12	6	4	0	2	7	8	0	0	8	6	7	0
L5966	0	0	7	12	4	0	0	9	6	5	0	17	12	10	0	0	10	7	11	0
L5978	0	0	97	85	53	0	0	93	68	45	0	125	84	64	0	0	123	96	75	0
L5990	0	0	42	33	22	0	0	68	40	39	0	45	48	44	0	0	51	48	37	0
L6130	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0
L6360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
L6450	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	5	0
L6584	0	0	1	0	0	0	0	1	2	0	0	0	4	1	0	0	0	0	0	0
L6586	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
L6611	0	0	22	17	28	0	0	34	36	34	0	29	19	29	0	0	37	32	59	0
L6623	0	0	5	1	4	0	0	3	2	2	0	6	5	3	0	0	7	3	5	0
L6640	0	0	0	0	0	0	0	5	0	1	0	0	1	2	0	0	0	0	0	0
L6642	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
L6645	0	0	2	1	1	0	0	3	1	0	0	5	2	3	0	0	3	7	1	0
L6646	0	0	3	5	5	0	0	6	8	2	0	4	6	1	0	0	2	2	8	0
L6647	0	0	2	4	1	0	0	2	1	1	0	1	3	0	0	0	1	1	3	0
L6648	0	0	0	1	0	0	0	2	3	0	0	0	2	1	0	0	0	0	2	0
L6690	0	0	7	2	2	0	0	7	3	0	0	3	3	0	0	0	4	5	5	0
L6712	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0
L6810	0	0	1	3	2	0	0	2	1	1	0	2	3	3	0	0	3	3	1	0
L6884	0	0	3	5	3	0	0	6	6	5	0	5	4	8	0	0	8	7	5	0
L6905	0	0	6	1	2	0	0	2	2	2	0	1	7	6	0	0	2	0	3	0
L6915	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	2	1	0
L6925	0	0	1	0	6	0	0	4	5	1	0	8	4	3	0	0	4	7	10	0
L6935	0	0	34	30	39	0	0	42	56	40	0	50	39	49	0	0	47	38	55	0
L6940	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
L6945	0	0	2	0	2	0	0	2	1	2	0	0	2	1	0	0	2	2	6	0
L6965	0	0	2	2	1	0	0	3	3	1	0	3	3	2	0	0	3	2	6	0
L6975	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	1	1	2	0
L7008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
L7362	0	0	1	21	6	0	0	4	10	8	0	4	4	14	0	0	10	10	9	0
L7364	0	0	4	8	9	0	0	5	8	7	0	12	10	11	0	0	8	8	11	0
L7499	0	0	113	75	88	0	0	133	76	77	0	117	119	81	0	0	131	94	135	0
L7600	0	0	33	21	32	0	0	32	43	19	0	43	44	25	0	0	38	45	48	0
L7900	0	0	13334	3648	61	0	0	14798	3809	50	0	14371	8961	162	0	0	14030	5303	85	0
L7902	0	0	10	4	0	0	0	6	2	0	0	7	6	2	0	0	5	0	0	0
L8000	0	0	38889	38039	40124	0	0	59501	58190	56117	0	62794	60800	59178	0	0	70396	67940	64500	0
L8030	0	0	16345	15762	16578	0	0	24884	24378	23472	0	26250	25590	24858	0	0	28244	27042	25515	0
L8040	0	0	15	19	12	0	0	18	18	17	0	22	18	19	0	0	17	21	20	0
L8044	0	0	6	0	0	0	0	8	3	1	0	4	2	2	0	0	5	3	0	0
L8140	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
L8499	0	0	298	242	270	0	0	318	273	299	0	421	360	331	0	0	436	364	381	0
L8512	0	0	17	6	9	0	0	14	25	6	0	12	16	11	0	0	15	19	15	0
L8610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
L8680	0	0	20	0	0	0	0	54	0	1	0	4	3	1	0	0	2	2	2	0
L8692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
L8699	0	0	0	0	0	0	0	0	0	3	0	2	0	5	0	0	1	0	1	0
Q4018	2	0	0	0	0	6	0	1	1	0	0	1	1	2	0	1	1	0	0	0
Q4038	101	9	8	21	4	173	7	14	10	2	71	1	10	6	0	4	4	3	6	0
Q4046	17	1	2	1	0	8	0	0	4	0	0	0	0	1	0	0	0	0	0	0
Q4050	32	4	0	7	1	12	4	4	0	0	6	11	6	7	0	4	0	10	3	0
T4522	4	2	2	4	2	6	3	3	4	3	1	3	1	2	0	3	2	4	6	0
T4523	2	0	18	3	5	0	1	10	9	7	1	0	8	10	0	0	1	6	5	0
T4524	3	0	10	1	0	2	0	3	4	0	3	0	2	2	0	1	0	2	3	0
T4525	0	0	0	0	0	0	0	1	2	0	0	0	1	2	0	1	2	0	1	0
T4527	1	5	17	8	1	17	9	9	14	2	1	5	7	10	0	4	0	5	1	0
T4528	1	3	10	2	8	2	1	3	10	4	1	2	2	17	0	1	2	4	13	0
T4535	0	3	16	5	12	20	1	12	17	9	6	0	5	13	0	4	0	5	15	0
