IDENTIFIER	NPI.x	HMS_POID.x	COUNT.x	NPI.y	HMS_POID.y	COUNT.y
1044910001	1104120070	POBEKCG7	40	1801908819	POBEKCG7	40
1048840010	1073690392	POMPR740	3	1679650980	POBBTK67	3
1048840010	1679650980	POBBTK67	3	1073690392	POMPR740	3
1050990005	1780622795	POKHUHW5	2698	NA	NA	NA
1051910004	1568514180	POW73AT1	55637	1932364478	POW73AT1	55637
1051910004	1568514180	POW73AT1	55637	1033176318	POW73AT1	55637
1051910004	1932364478	POW73AT1	55637	1568514180	POW73AT1	55637
1051910004	1932364478	POW73AT1	55637	1033176318	POW73AT1	55637
1051910004	1033176318	POW73AT1	55637	1568514180	POW73AT1	55637
1051910004	1033176318	POW73AT1	55637	1932364478	POW73AT1	55637
1051910005	1639133432	POAMBR17	44	1285898544	POAE6RG6	44
1051910005	1285898544	POAE6RG6	44	1639133432	POAMBR17	44
1051910011	1326283953	POT25FA3	100	1174768774	POT25FA3	100
1051910011	1174768774	POT25FA3	100	1326283953	POT25FA3	100
1051990002	1104869452	POCB2H83	1753	1568404077	POW042N9	1753
1051990002	1568404077	POW042N9	1753	1104869452	POCB2H83	1753
1053830001	1922417732	POWNFUE8	12086	1437133956	POXCKK03	12086
1053830001	1922417732	POWNFUE8	12086	1477805612	POM75W34	12086
1053830001	1477805612	POM75W34	12086	1922417732	POWNFUE8	12086
1053830001	1477805612	POM75W34	12086	1437133956	POXCKK03	12086
1053830001	1437133956	POXCKK03	12086	1922417732	POWNFUE8	12086
1053830001	1437133956	POXCKK03	12086	1477805612	POM75W34	12086
1055000001	1104965003	PO9WBTA5	534	1841351954	PO0FMVW2	534
1055000001	1104965003	PO9WBTA5	534	1558400192	POTG3757	534
1055000001	1841351954	PO0FMVW2	534	1104965003	PO9WBTA5	534
1055000001	1841351954	PO0FMVW2	534	1558400192	POTG3757	534
1055000001	1558400192	POTG3757	534	1841351954	PO0FMVW2	534
1055000001	1558400192	POTG3757	534	1104965003	PO9WBTA5	534
1055970001	1437178308	PO121MU6	134	1467471326	POJPBX76	134
1055970001	1467471326	POJPBX76	134	1437178308	PO121MU6	134
1057200001	1184649055	PO3ME9V8	269	1831218429	PO3ME9V8	269
1057200001	1831218429	PO3ME9V8	269	1184649055	PO3ME9V8	269
1059120001	1922176650	PO2HMBU6	303040	1689804700	PO2HMBU6	303040
1059120001	1689804700	PO2HMBU6	303040	1922176650	PO2HMBU6	303040
1063190001	1063713683	PO0J94T6	11033	1427027218	PO247HH7	11033
1063190001	1063713683	PO0J94T6	11033	1427027218	PO247HH7	11033
1063190001	1427027218	PO247HH7	11033	1063713683	PO0J94T6	11033
1063190001	1427027218	PO247HH7	11033	1063713683	PO0J94T6	11033
1065300001	1558543694	POAW5Q40	80234	1164426144	POTN4HR5	80234
1065300001	1164426144	POTN4HR5	80234	1558543694	POAW5Q40	80234
1067690001	1285960104	POWRCMV1	1538	1316092570	PO16EUR7	1538
1067690001	1316092570	PO16EUR7	1538	1285960104	POWRCMV1	1538
1067690002	1619029139	POX3B2D7	916	1316092570	PO16EUR7	916
1067690002	1316092570	PO16EUR7	916	1619029139	POX3B2D7	916
1067690002	1316092570	PO16EUR7	916	1619029139	POX3B2D7	916
1067690002	1619029139	POX3B2D7	916	1316092570	PO16EUR7	916
1067690003	1386647907	PO16EUR7	135353	1285960104	POWRCMV1	135353
1067690003	1386647907	PO16EUR7	135353	1316092570	PO16EUR7	135353
1067690003	1316092570	PO16EUR7	135353	1285960104	POWRCMV1	135353
1067690003	1316092570	PO16EUR7	135353	1386647907	PO16EUR7	135353
1067690003	1285960104	POWRCMV1	135353	1316092570	PO16EUR7	135353
1067690003	1285960104	POWRCMV1	135353	1386647907	PO16EUR7	135353
1068460001	1043212665	PO2V4EC0	16	1164978219	POGX05N1	16
1068460001	1164978219	POGX05N1	16	1043212665	PO2V4EC0	16
1070450001	1376546978	POT3RP95	-2	1063572881	PO4G3N08	-2
1070450001	1376546978	POT3RP95	-2	1033112636	PO4G3N08	-2
1070450001	1063572881	PO4G3N08	-2	1376546978	POT3RP95	-2
1070450001	1063572881	PO4G3N08	-2	1033112636	PO4G3N08	-2
1070450001	1033112636	PO4G3N08	-2	1376546978	POT3RP95	-2
1070450001	1033112636	PO4G3N08	-2	1063572881	PO4G3N08	-2
1070840001	1255357117	POCXKD96	13	1821015256	POCXKD96	13
1070840001	1821015256	POCXKD96	13	1255357117	POCXKD96	13
1074050001	1023558673	POCEBR12	722	1669912218	POANVD56	722
1074050001	1023558673	POCEBR12	722	1083154454	PO1U7089	722
1074050001	1023558673	POCEBR12	722	1154300051	PO9FAW88	722
1074050001	1023558673	POCEBR12	722	1972043347	POXCBPT3	722
1074050001	1669912218	POANVD56	722	1083154454	PO1U7089	722
1074050001	1669912218	POANVD56	722	1023558673	POCEBR12	722
